conv1: value range 0 - 2.56802, interval 0.001253916067071259, interval num 2048, threshold num 2046

conv2: value range 0 - 5.2194605, interval 0.0025485646910965443, interval num 2048, threshold num 511

conv3: value range 0 - 6.0, interval 0.0029296875, interval num 2048, threshold num 767

conv4: value range 0 - 7.3069687, interval 0.003567855805158615, interval num 2048, threshold num 1791

conv5: value range 0 - 6.0, interval 0.0029296875, interval num 2048, threshold num 1151

conv6: value range 0 - 5.8576984, interval 0.002860204316675663, interval num 2048, threshold num 639

conv7: value range 0 - 6.220466, interval 0.0030373369809240103, interval num 2048, threshold num 639

conv8: value range 0 - 2.8462582, interval 0.0013897744938731194, interval num 2048, threshold num 1023

conv9: value range 0 - 3.6351056, interval 0.0017749539110809565, interval num 2048, threshold num 767

conv10: value range 0 - 8.68039, interval 0.004238471854478121, interval num 2048, threshold num 767

conv11: value range 0 - 2.723226, interval 0.0013297002296894789, interval num 2048, threshold num 1279

conv12: value range 0 - 3.643845, interval 0.0017792212311178446, interval num 2048, threshold num 895

conv13: value range 0 - 4.6749077, interval 0.0022826697677373886, interval num 2048, threshold num 1279

conv14: value range 0 - 1.5960499, interval 0.0007793212425895035, interval num 2048, threshold num 1023

conv15: value range 0 - 2.627176, interval 0.0012828008038923144, interval num 2048, threshold num 895

conv16: value range 0 - 5.314735, interval 0.0025950854178518057, interval num 2048, threshold num 1279

conv17: value range 0 - 1.5505439, interval 0.0007571015157736838, interval num 2048, threshold num 1407

conv18: value range 0 - 2.1384277, interval 0.001044154167175293, interval num 2048, threshold num 1151

conv19: value range 0 - 6.700326, interval 0.003271643538028002, interval num 2048, threshold num 1151

conv20: value range 0 - 2.2322006, interval 0.0010899417102336884, interval num 2048, threshold num 1407

conv21: value range 0 - 3.1157484, interval 0.0015213615261018276, interval num 2048, threshold num 1150

conv22: value range 0 - 3.3773165, interval 0.0016490803100168705, interval num 2048, threshold num 1535

conv23: value range 0 - 1.1844883, interval 0.0005783634260296822, interval num 2048, threshold num 1663

conv24: value range 0 - 1.359286, interval 0.0006637138430960476, interval num 2048, threshold num 1662

conv25: value range 0 - 3.56709, interval 0.0017417431809008121, interval num 2048, threshold num 1663

conv26: value range 0 - 1.3055316, interval 0.0006374666118063033, interval num 2048, threshold num 1663

conv27: value range 0 - 1.6252202, interval 0.0007935645407997072, interval num 2048, threshold num 1279

conv28: value range 0 - 3.6570578, interval 0.0017856727354228497, interval num 2048, threshold num 1791

conv29: value range 0 - 1.1893014, interval 0.0005807135603390634, interval num 2048, threshold num 2046

conv30: value range 0 - 1.2437493, interval 0.0006072994438000023, interval num 2048, threshold num 1663

conv31: value range 0 - 3.848693, interval 0.001879244577139616, interval num 2048, threshold num 1791

conv32: value range 0 - 1.281766, interval 0.0006258623325265944, interval num 2048, threshold num 2045

conv33: value range 0 - 4.239225, interval 0.0020699340384453535, interval num 2048, threshold num 638

conv34: value range 0 - 2.853228, interval 0.001393177779391408, interval num 2048, threshold num 1791

conv35: value range 0 - 1.2087967, interval 0.000590232782997191, interval num 2048, threshold num 2046

conv36: value range 0 - 2.1622288, interval 0.001055775792337954, interval num 2048, threshold num 1407

conv37: value range 0 - 3.0717716, interval 0.0014998884871602058, interval num 2048, threshold num 1663

conv38: value range 0 - 1.2101765, interval 0.0005909064784646034, interval num 2048, threshold num 2046

conv39: value range 0 - 5.044805, interval 0.0024632837157696486, interval num 2048, threshold num 383

conv40: value range 0 - 9.592691, interval 0.004683931358158588, interval num 2048, threshold num 2046

conv41: value range 0 - 3.8312871, interval 0.0018707456765696406, interval num 2048, threshold num 2046

conv42: value range 0 - 6.0, interval 0.0029296875, interval num 2048, threshold num 1406

conv43: value range 0 - 8.264342, interval 0.004035323392599821, interval num 2048, threshold num 1791

conv44: value range 0 - 2.9741476, interval 0.00145222048740834, interval num 2048, threshold num 2046

conv45: value range 0 - 4.3196363, interval 0.002109197434037924, interval num 2048, threshold num 2046

conv46: value range 0 - 11.924169, interval 0.005822347942739725, interval num 2048, threshold num 2046

conv47: value range 0 - 3.7636902, interval 0.0018377393716946244, interval num 2048, threshold num 2045

conv48: value range 0 - 6.0, interval 0.0029296875, interval num 2048, threshold num 1535

conv49: value range 0 - 20.29428, interval 0.009909315966069698, interval num 2048, threshold num 1791

conv50: value range 0 - 2.5904791, interval 0.0012648823903873563, interval num 2048, threshold num 2046

conv51: value range 0 - 1.3565776, interval 0.0006623914232477546, interval num 2048, threshold num 1535

conv52: value range 0 - 1.3426157, interval 0.0006555740837939084, interval num 2048, threshold num 2046

